"submission_date","state","tot_cases","new_case","tot_death","new_death"
2021-07-27,"AK","71521","235.0","377","0.0"
2020-04-16,"AK","300","7.0","9","0.0"
2021-12-05,"AK","146558","0.0","853","0.0"
2020-05-07,"AK","374","2.0","10","0.0"
2021-11-05,"AK","136822","856.0","714","1.0"
2020-06-18,"AK","713","12.0","16","0.0"
2020-05-15,"AK","390","1.0","11","0.0"
2020-02-24,"AK","0","0.0","0","0.0"
2021-10-13,"AK","120751","1205.0","590","0.0"
2020-02-10,"AK","0","0.0","0","0.0"
2021-08-30,"AK","83991","371.0","427","0.0"
2021-02-09,"AK","53961","106.0","310","1.0"
2021-06-01,"AK","67507","26.0","362","0.0"
2020-10-19,"AK","11226","202.0","91","0.0"
2021-04-07,"AK","61747","217.0","340","0.0"
2021-06-03,"AK","67591","50.0","362","0.0"
2020-07-24,"AK","2259","57.0","30","0.0"
2021-09-29,"AK","108608","968.0","546","4.0"
2021-02-23,"AK","55623","57.0","322","2.0"
2020-07-03,"AK","1065","45.0","18","0.0"
2021-09-17,"AK","96002","870.0","454","1.0"
2020-05-17,"AK","398","4.0","11","0.0"
2020-12-01,"AK","32332","539.0","208","3.0"
2022-05-18,"AK","249522","1657.0","1252","17.0"
2021-05-26,"AK","67317","65.0","362","0.0"
2021-09-01,"AK","85358","761.0","435","4.0"
2021-02-16,"AK","54818","60.0","312","0.0"
2021-09-03,"AK","86598","570.0","435","0.0"
2021-05-27,"AK","67357","40.0","362","0.0"
2020-10-11,"AK","9714","250.0","82","2.0"
2021-07-28,"AK","71757","236.0","379","2.0"
2020-10-28,"AK","14165","385.0","108","3.0"
2021-08-24,"AK","81097","564.0","419","13.0"
2021-06-25,"AK","68218","20.0","367","0.0"
2021-07-09,"AK","68791","59.0","372","2.0"
2020-11-05,"AK","17263","327.0","125","0.0"
2020-11-08,"AK","18888","507.0","133","5.0"
2020-12-13,"AK","40198","641.0","257","3.0"
2021-06-30,"AK","68379","40.0","370","3.0"
2020-02-28,"AK","0","0.0","0","0.0"
2020-10-23,"AK","12169","248.0","97","2.0"
2020-05-28,"AK","427","13.0","11","0.0"
2022-02-27,"AK","230848","0.0","1130","0.0"
2021-04-12,"AK","62566","78.0","341","0.0"
2022-05-10,"AK","246345","0.0","1220","0.0"
2020-09-21,"AK","6931","70.0","63","1.0"
2021-03-11,"AK","57731","215.0","330","0.0"
2020-08-27,"AK","5002","85.0","52","2.0"
2020-11-10,"AK","19898","551.0","136","0.0"
2021-08-01,"AK","72753","234.0","382","0.0"
2021-08-18,"AK","78407","633.0","404","4.0"
2021-10-23,"AK","128084","0.0","673","0.0"
2021-02-24,"AK","55800","177.0","322","0.0"
2022-03-16,"AK","236471","470.0","1169","1.0"
2021-10-01,"AK","110850","1005.0","557","1.0"
2021-07-26,"AK","71286","179.0","377","0.0"
2021-08-31,"AK","84597","606.0","431","4.0"
2021-08-10,"AK","75295","239.0","392","1.0"
2021-02-07,"AK","53769","212.0","309","0.0"
2020-02-05,"AK","0","0.0","0","0.0"
2022-03-17,"AK","236471","0.0","1169","0.0"
2021-05-10,"AK","66350","78.0","343","0.0"
2021-06-06,"AK","67680","16.0","362","0.0"
2020-12-31,"AK","45771","372.0","281","3.0"
2021-02-05,"AK","53433","160.0","308","0.0"
2020-03-26,"AK","63","14.0","3","2.0"
2020-02-01,"AK","0","0.0","0","0.0"
2021-04-15,"AK","63081","186.0","341","0.0"
2021-12-28,"AK","150643","0.0","945","0.0"
2021-10-03,"AK","112308","729.0","557","0.0"
2020-11-16,"AK","23418","561.0","159","1.0"
2020-06-30,"AK","944","36.0","17","0.0"
2022-01-21,"AK","188612","6327.0","1018","0.0"
2021-08-03,"AK","73257","269.0","384","2.0"
2020-08-28,"AK","5118","116.0","52","0.0"
2020-03-31,"AK","128","10.0","6","0.0"
2022-01-22,"AK","188612","0.0","1018","0.0"
2022-05-02,"AK","244914","0.0","1219","0.0"
2022-01-06,"AK","155871","0.0","947","0.0"
2021-10-16,"AK","123369","691.0","610","16.0"
2022-05-06,"AK","246345","0.0","1220","0.0"
2020-10-31,"AK","15398","467.0","116","0.0"
2022-05-14,"AK","247865","0.0","1235","0.0"
2020-09-23,"AK","7064","76.0","64","1.0"
2020-11-20,"AK","25651","475.0","168","2.0"
2021-07-17,"AK","69599","146.0","374","0.0"
2021-05-28,"AK","67403","46.0","362","0.0"
2022-01-19,"AK","182285","9956.0","1018","1.0"
2021-07-15,"AK","69320","133.0","374","0.0"
2020-06-11,"AK","616","18.0","15","0.0"
2021-07-25,"AK","71107","178.0","377","0.0"
2021-08-29,"AK","83620","370.0","427","0.0"
2021-04-06,"AK","61530","84.0","340","0.0"
2020-09-09,"AK","5909","65.0","58","0.0"
2020-09-22,"AK","6988","57.0","63","0.0"
2020-06-06,"AK","541","12.0","15","1.0"
2022-02-06,"AK","217366","0.0","1060","0.0"
2021-02-21,"AK","55505","113.0","320","2.0"
2021-03-20,"AK","58893","185.0","333","1.0"
2021-12-15,"AK","148772","392.0","859","2.0"
2021-02-28,"AK","56331","119.0","323","0.0"
2020-08-20,"AK","4537","83.0","50","0.0"
2022-04-01,"AK","239750","517.0","1195","0.0"
2021-07-24,"AK","70929","178.0","377","0.0"
2022-05-20,"AK","249522","0.0","1252","0.0"
2020-08-06,"AK","3488","40.0","38","0.0"
2021-01-14,"AK","49778","332.0","299","1.0"
2021-03-02,"AK","56523","125.0","326","1.0"
2021-04-17,"AK","63439","177.0","341","0.0"
2020-10-03,"AK","8312","142.0","73","0.0"
2021-08-04,"AK","73584","327.0","385","1.0"
2022-01-13,"AK","167008","0.0","953","0.0"
2022-02-02,"AK","213606","4042.0","1060","8.0"
2022-02-14,"AK","226276","1815.0","1081","0.0"
2020-10-08,"AK","9048","134.0","78","1.0"
2020-09-04,"AK","5595","119.0","55","2.0"
2020-08-04,"AK","3393","60.0","37","1.0"
2020-03-27,"AK","74","11.0","3","0.0"
2021-07-06,"AK","68634","39.0","370","0.0"
2022-05-16,"AK","247865","0.0","1235","0.0"
2022-02-12,"AK","224461","0.0","1081","0.0"
2021-10-28,"AK","131848","792.0","695","5.0"
2020-12-11,"AK","39032","597.0","248","1.0"
2021-04-21,"AK","64007","213.0","341","0.0"
2021-06-04,"AK","67648","57.0","362","0.0"
2020-12-17,"AK","41847","360.0","265","2.0"
2021-01-04,"AK","46912","214.0","290","1.0"
2020-12-07,"AK","36696","555.0","233","3.0"
2022-02-05,"AK","217366","0.0","1060","0.0"
2021-05-23,"AK","67167","30.0","362","0.0"
